profit_factor,win_rate,avg_trade,sharpe,n_trades,total_pnl,max_drawdown,p_negative,p_rebound,net_edge
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.9,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.7,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.75,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.6,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.75,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.85,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.8,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.8,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.85,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.5,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.7,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.65,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.55,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.5,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.65,0.6,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.55,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.9,0.55,30
5.397,78.2,40.87,5.152,110,4495.16,194.42,0.6,0.6,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.55,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.8,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.9,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.75,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.65,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.6,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.85,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.7,0.65,30
5.334,78.0,40.64,5.079,109,4429.86,194.42,0.5,0.65,30
